iter	Passed	Remaining
920	1403	120
921	1405	118
922	1406	117
923	1407	115
924	1409	114
925	1410	112
926	1411	111
927	1412	109
928	1414	108
929	1415	106
930	1416	104
931	1417	103
932	1418	101
933	1419	100
934	1420	98
935	1422	97
936	1423	95
937	1425	94
938	1426	92
939	1427	91
940	1428	89
941	1429	88
942	1430	86
943	1432	84
944	1433	83
945	1434	81
946	1435	80
947	1437	78
948	1438	77
949	1440	75
950	1441	74
951	1442	72
952	1443	71
953	1445	69
954	1446	68
955	1447	66
956	1448	65
957	1450	63
958	1451	62
959	1452	60
960	1453	58
961	1455	57
962	1456	55
963	1457	54
964	1458	52
965	1460	51
966	1461	49
967	1462	48
968	1463	46
969	1464	45
970	1466	43
971	1467	42
972	1468	40
973	1470	39
974	1471	37
975	1472	36
976	1473	34
977	1475	33
978	1476	31
979	1477	30
980	1478	28
981	1479	27
982	1480	25
983	1482	24
984	1483	22
985	1484	21
986	1485	19
987	1487	18
988	1488	16
989	1489	15
990	1490	13
991	1492	12
992	1493	10
993	1494	9
994	1495	7
995	1497	6
996	1499	4
997	1500	3
998	1501	1
999	1503	0
